date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:50	70805/70805	---MC-	200	added ('200')	text/html	date:Thu,%2028%20Aug%202025%2007:31:49%20GMT	https://josunhotel.com/hotel/JosunPalace.do	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/hotel/JosunPalace.html	(from )
16:31:51	689/689	---M--	200	added ('OK')	text/plain	etag:%222b1-6273f864ed480%22	https://josunhotel.com/robots.txt		(from )
16:31:51	13928/13928	---M--	200	added ('OK')	image/png	etag:%223668-6273f85f34700%22	https://josunhotel.com/static/home/images/josunhotel_og.png	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/images/josunhotel_og.png	(from https://josunhotel.com/hotel/JosunPalace.do)
16:31:52	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-6273f85793500%22	https://josunhotel.com/static/home/images/ko/pc/common/favicon.ico	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/images/ko/pc/common/favicon.ico	(from https://josunhotel.com/hotel/JosunPalace.do)
16:31:53	18884/18884	---M--	200	added ('OK')	text/css	etag:%2249c4-63cb3b0722b8d%22	https://josunhotel.com/static/home/css/ko/pc/common_josunhotel.css	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/css/ko/pc/common_josunhotel.css	(from https://josunhotel.com/hotel/JosunPalace.do)
16:31:55	200819/200819	---M--	200	added ('OK')	text/css	etag:%2231073-639755c0ab129%22	https://josunhotel.com/static/home/css/ko/pc/contents.css	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/css/ko/pc/contents.css	(from https://josunhotel.com/hotel/JosunPalace.do)
16:31:55	2219/2219	---M--	200	added ('OK')	text/css	etag:%228ab-6273f84851100%22	https://josunhotel.com/static/home/bluewaves/css/pc/contents.css	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/bluewaves/css/pc/contents.css	(from https://josunhotel.com/hotel/JosunPalace.do)
16:31:57	19204/19204	---M--	200	added ('OK')	text/css	etag:%224b04-6273f8611cb80%22	https://josunhotel.com/static/home/css/ko/pc/swiper.css	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/css/ko/pc/swiper.css	(from https://josunhotel.com/hotel/JosunPalace.do)
16:31:58	88145/88145	---M--	200	added ('OK')	application/javascript	etag:%2215851-6273f84851100%22	https://josunhotel.com/static/home/js/ko/pc/jquery-3.4.1.min.js	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/js/ko/pc/jquery-3.4.1.min.js	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:00	149545/149545	---M--	200	added ('OK')	application/javascript	etag:%2224829-632f4c8c49780%22	https://josunhotel.com/static/home/js/ko/pc/pubCommon_contents.js	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/js/ko/pc/pubCommon_contents.js	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:00	10588/10588	---M--	200	added ('OK')	application/javascript	etag:%22295c-6273f84851100%22	https://josunhotel.com/static/home/js/ko/pc/pubCommon_josunhotel.js	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/js/ko/pc/pubCommon_josunhotel.js	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:00	511462/511462	---M--	200	added ('OK')	application/javascript	etag:%227cde6-6273f84851100%22	https://josunhotel.com/static/home/js/ko/pc/pubPlugin.js	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/js/ko/pc/pubPlugin.js	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:01	27083/27083	---M--	200	added ('OK')	application/javascript	etag:%2269cb-6273f84851100%22	https://josunhotel.com/static/home/js/ko/pc/selectbox.js	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/js/ko/pc/selectbox.js	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:03	24611/24611	---M--	200	added ('OK')	application/javascript	etag:%226023-6361962353380%22	https://josunhotel.com/static/home/js/home.js?v=1.0	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/js/homec619.js	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:03	139428/139428	---M--	200	added ('OK')	application/javascript	etag:%22220a4-6273f84851100%22	https://josunhotel.com/static/home/js/ko/pc/swiper.min.js	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/js/ko/pc/swiper.min.js	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:04	1465/1465	---M--	200	added ('OK')	application/javascript	etag:%225b9-6273f84851100%22	https://josunhotel.com/static/home/bluewaves/js/pc/bw_contents.js	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/static/home/bluewaves/js/pc/bw_contents.js	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2028%20Aug%202025%2007:32:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/www.googletagmanager.com/gtm.f5445.delayed	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:07	67036/67036	---MC-	200	added ('200')	text/html	date:Thu,%2028%20Aug%202025%2007:32:06%20GMT	https://josunhotel.com/hotel/westinSeoul.do	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/hotel/westinSeoul.html	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:08	63957/63957	---MC-	200	added ('200')	text/html	date:Thu,%2028%20Aug%202025%2007:32:07%20GMT	https://josunhotel.com/hotel/westinBusan.do	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/hotel/westinBusan.html	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:09	69717/69717	---MC-	200	added ('200')	text/html	date:Thu,%2028%20Aug%202025%2007:32:08%20GMT	https://josunhotel.com/hotel/grandBusan.do	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/hotel/grandBusan.html	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:10	67720/67720	---MC-	200	added ('200')	text/html	date:Thu,%2028%20Aug%202025%2007:32:09%20GMT	https://josunhotel.com/hotel/grandJeju.do	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/hotel/grandJeju.html	(from https://josunhotel.com/hotel/JosunPalace.do)
16:32:11	64709/64709	---MC-	200	added ('200')	text/html	date:Thu,%2028%20Aug%202025%2007:32:10%20GMT	https://josunhotel.com/hotel/lescape.do	/Users/jungyunseong/Documents/Development/Web/clinicplate-homepage3/josunhotel.com/hotel/lescape.html	(from https://josunhotel.com/hotel/JosunPalace.do)
